timestamp,value
1514736000,4098
1514736060,5052
1514736120,4091
1514736180,5310
1514736240,4367
1514736300,5524
1514736360,5311
1514736420,4758
1514736480,4972
1514736540,5070
1514736600,6150
1514736660,5148
1514736720,5705
1514736780,4619
1514736840,4481
1514736900,4814
1514736960,4867
1514737020,4568
1514737080,4123
1514737140,5887
1514737200,5819
1514737260,4605
1514737320,4406
1514737380,4744
1514737440,5400
1514737500,3283
1514737560,4466
1514737620,4996
1514737680,4419
1514737740,4969
1514737800,3996
1514737860,4123
1514737920,3996
1514737980,3904
1514738040,4335
1514738100,3527
1514738160,5604
1514738220,5111
1514738280,4554
1514738340,3704
1514738400,4009
1514738460,4270
1514738520,3634
1514738580,4078
1514738640,3776
1514738700,4102
1514738760,4264
1514738820,5274
1514738880,4364
1514738940,3513
1514739000,4480
1514739060,3415
1514739120,3343
1514739180,3452
1514739240,3581
1514739300,4216
1514739360,2797
1514739420,3466
1514739480,3319
1514739540,3647
1514739600,3203
1514739660,3011
1514739720,3510
1514739780,4500
1514739840,2342
1514739900,3962
1514739960,2896
1514740020,2808
1514740080,4375
1514740140,1986
1514740200,3135
1514740260,3179
1514740320,3186
1514740380,2189
1514740440,2247
1514740500,3108
1514740560,2890
1514740620,2238
1514740680,2683
1514740740,2646
1514740800,2564
1514740860,2470
1514740920,2219
1514740980,2606
1514741040,2734
1514741100,2145
1514741160,2490
1514741220,2773
1514741280,1807
1514741340,2381
1514741400,3006
1514741460,2195
1514741520,2235
1514741580,2276
1514741640,2882
1514741700,2154
1514741760,1943
1514741820,3139
1514741880,2104
1514741940,2220
1514742000,2088
1514742060,2077
1514742120,2175
1514742180,1829
1514742240,2246
1514742300,2590
1514742360,1858
1514742420,1874
1514742480,2344
1514742540,1710
1514742600,2280
1514742660,2050
1514742720,1832
1514742780,1805
1514742840,2383
1514742900,2216
1514742960,2079
1514743020,1898
1514743080,1316
1514743140,1991
1514743200,2297
1514743260,1601
1514743320,1738
1514743380,1755
1514743440,1660
1514743500,1841
1514743560,2198
1514743620,1329
1514743680,2246
1514743740,2154
1514743800,2043
1514743860,1813
1514743920,1906
1514743980,1933
1514744040,1748
1514744100,2130
1514744160,1827
1514744220,1668
1514744280,2240
1514744340,1654
1514744400,1376
1514744460,1560
1514744520,1814
1514744580,1933
1514744640,2052
1514744700,1701
1514744760,1379
1514744820,1415
1514744880,1417
1514744940,1479
1514745000,1793
1514745060,1831
1514745120,1242
1514745180,1340
1514745240,1790
1514745300,1343
1514745360,2004
1514745420,1274
1514745480,986
1514745540,1427
1514745600,1115
1514745660,1386
1514745720,959
1514745780,1128
1514745840,1477
1514745900,1299
1514745960,1192
1514746020,1092
1514746080,894
1514746140,1921
1514746200,1249
1514746260,1568
1514746320,1145
1514746380,1117
1514746440,1216
1514746500,895
1514746560,975
1514746620,1469
1514746680,1066
1514746740,1059
